Roll,Name,Age,Gender,Marks,Branch,Email,City,Join_Date,Fees_Paid
1001,Shalini,21,Unknown,102,cse,shalini@gmail.com,Delhi,2023-04-25,45000.0
1002,,-1,Female,47,ME,pallavi@gmail.com,,2023-03-30,45000.0
1003, ,21,Male,67,CSE, ,Delhi,32-13-2023,45000.0
1004,Yogesh,21,Male,66,ME,yogesh@gmail.com,Delhi,2023-05-05,45000.0
1005,Rohit,20,,60,ECE,rohit@gmail.com,Mumbai,2023-02-15,
1006,Raj,22,Male,90,CSE,raj@gmail.com,Delhi,2023-03-10,45000.0
1007,Shalini,21,Female,102,ME,shalini@gmail.com,Delhi,2023-04-25,45000.0
1008,Meena,20,Female,-5,ECE,invalid,Pune,2023-03-08,45000.0
1009,Vikas,20,Male,40,ECE,vikas@gmail.com,Bangalore,2023-03-15,45000.0
1010,Anuj,20,Male,,CSE,anuj@gmail.com,Delhi,2023-01-10,45000.0
1011,Anuj,20,Male,85,CSE,anuj@gmail.com,Delhi,2023-01-10,45000.0
1012,Kiran,19,Male,abc,E.C.E,kiran@gmail.com,Pune,2023-03-18,
1013,Abhishek,21,Male,83,CSE,abhishek@gmail.com,Delhi,2023-04-18,45000.0
1014,Amit,twenty,Male,,CSE,amit@gmail.com,Mumbai,2023-04-28,45000.0
1015,Kiran,19,Male,abc,CSE,kiran@gmail.com,Pune,2023-03-18,45000.0
1016,,22,Female,Ninety,ME,,Mumbai,2023/03/15,45000.0
1017,Tina,21,Female,82,ME,tina@gmail.com,Mumbai,2023-03-12,45000.0
1018, Ravi ,21,Male,78,ECE,ravi@gmail,Delhi,10-02-2023,45000.0
1019,Kiran,19,Male,abc,CSE,kiran@gmail.com,Pune,,45000.0
1020,Farah,22,Female,81,Mechanical,farah@gmail.com,Mumbai,2023-05-08,45000.0
1021,Sanjay,150,Male,88,CSE,sanjay@gmail.com,Mumbai,2023-04-02,forty thousand
1022,Prakash,22,Male,100,CSE,prakash@gmail.com,Pune,2023-04-22,45000.0
1023, Ravi ,21,Male,78,ECE,ravi@gmail,Delhi,10-02-2023,45000.0
1024,Raj,22,Male,90,CSE,raj@gmail.com,Delhi,2023-03-10,45000.0
1025,Manish,22,Male,65,CSE,manish@gmail,Delhi,2023-04-10,45000.0
1026,Pooja,21,Female,39,ME,pooja@gmail.com,Pune,2023-02-05,45000.0
1027,Tina,21,Female,82,ME,tina@gmail.com,Mumbai,2023-03-12,45000.0
1028,Farah,150,Female,81,CSE,farah@gmail.com,Mumbai,2023-05-08,45000.0
1029,Deepa,21,Female,68,ECE,deepa@gmail.com,Delhi,2023-03-20,45000.0
1030,Sameer,23,Male,91,ME,sameer@gmail.com,Delhi,2023-05-20,45000.0
1031,Swati,20,Female,59,CSE,swati@gmail.com,Pune,2023-03-25,45000.0
1032,Sneha,20,Female,78,ECE,sneha@gmail.com,Pune,2023-05-01,45000.0
1033,Ajay,21,Male,,ECE,ajay@gmail.com,Delhi,2023-03-28,45000.0
1034,Akash,23,Male,110,ME,akash@gmail.com,Pune,2023-02-22,45000.0
1035, ,21,Male,67,Mechanical, ,Delhi,2023-01-25,45000.0
1036,Harsh,21,Male,73,CSE,harsh@gmail.com,Mumbai,2023-05-15,45000.0
1037,Farah,22,Female,81,CSE,farah@gmail.com,Mumbai,2023-05-08,45000.0
1038,,22,Female,Ninety,ME,,Mumbai,2023/03/15,45000.0
1039,,20,Female,91,ECE,invalid,Mumbai,2023-04-20,45000.0
1040,123,21,Male,45,cse,invalid,Bangalore,2023-13-01,45000.0
1041,Raj,22,Male,90,CSE,raj@gmail.com,Delhi,2023-03-10,45000.0
1042,Simran,19,Female,,ME,simran@gmail.com,Chennai,2023-03-01,45000.0
1042,Shalini,21,Female,102,ME,shalini@gmail.com,Delhi,2023-04-25,-45000
1044,Suresh,21,Male,48,ME,,Mumbai,2023-03-05,45000.0
1045,Priya,19,Female,105,CSE,priya@gmail.com,,invalid,45000.0
1046,Deepa,21,Female,68,ECE,deepa@gmail.com,Delhi,2023-03-20,45000.0
1047,Sunita,20,Female,35,ECE,sunita@gmail.com,Delhi,2023-02-18,45000.0
1047,Unknown,20,,45,CSE,unknown,Bangalore,wrong_date,45000.0
1049,Simran,19,Female,,ME,simran@gmail.com,Chennai,2023-03-01,45000.0
1050,Naresh,22,Male,72,ME,naresh@gmail.com,Mumbai,2023-03-22,45000.0
1051, Ravi ,21,Male,78,ECE,ravi@gmail,Delhi,10-02-2023,-45000
1052,Raj,22,Male,90,CSE,raj@gmail.com,Delhi,2023-03-10,45000.0
1053,Ajay,21,Unknown,,ECE,ajay@gmail.com,Delhi,2023-03-28,45000.0
1054,Harsh,21,Male,73,CSE,harsh@gmail.com,Mumbai,2023-05-15,45000.0
1055,123,21,Male,45,cse,invalid,Bangalore,2023-13-01,45000.0
1056,Farah,22,Female,81,CSE,farah@gmail.com,Mumbai,2023-05-08,45000.0
1056,Rohit,20,,60,ECE,rohit@gmail.com,Mumbai,2023-02-15,
1058,Harsh,21,Male,73,CSE,harsh@gmail.com,Mumbai,2023-05-15,45000.0
1059,Komal,19,Female,55,E.C.E,komal@gmail.com,Pune,2023-04-15,45000.0
1060,Sunita,20,Female,35,ECE,sunita@gmail.com,Delhi,2023-02-18,45000.0
1061,Nikita,19,Female,55,CSE,nikita@gmail,Chennai,2023-02-28,45000.0
1062,Abhishek,21,Male,83,CSE,abhishek@gmail.com,Delhi,2023-04-18,45000.0
